# generated by packages/claude-code/extract-env-registry.py from Claude Code cli.js 2.1.259
# regenerate: nix build .#claude-code.envRegistry && cp result packages/claude-code/env-registry.tsv
# name	type	module
AGENT_PROXY_AUTH_TOKEN	str()	0
AGENT_PROXY_URL	str()	7
AI_AGENT	bool()	4
ALACRITTY_LOG	str()	3
ALLOW_ANT_COMPUTER_USE_MCP	bool()	4
ALL_PROXY	str()	6
ANTHROPIC_API_KEY	?	0
ANTHROPIC_AUTH_TOKEN	str()	0
ANTHROPIC_AWS_API_KEY	str()	0
ANTHROPIC_AWS_BASE_URL	str()	7
ANTHROPIC_AWS_WORKSPACE_ID	str()	7
ANTHROPIC_BASE_URL	str()	7
ANTHROPIC_BEDROCK_BASE_URL	str()	7
ANTHROPIC_BEDROCK_MANTLE_BASE_URL	str()	7
ANTHROPIC_BEDROCK_REGION_PREFIX	enum(g)	7
ANTHROPIC_BEDROCK_SERVICE_TIER	str()	7
ANTHROPIC_BETAS	str()	6
ANTHROPIC_CONFIG_DIR	?	4
ANTHROPIC_CUSTOM_HEADERS	str()	6
ANTHROPIC_CUSTOM_MODEL_OPTION	str()	5
ANTHROPIC_CUSTOM_MODEL_OPTION_DESCRIPTION	str()	5
ANTHROPIC_CUSTOM_MODEL_OPTION_NAME	str()	5
ANTHROPIC_DEFAULT_FABLE_MODEL	str()	5
ANTHROPIC_DEFAULT_FABLE_MODEL_DESCRIPTION	str()	5
ANTHROPIC_DEFAULT_FABLE_MODEL_NAME	str()	5
ANTHROPIC_DEFAULT_HAIKU_MODEL	str()	5
ANTHROPIC_DEFAULT_HAIKU_MODEL_DESCRIPTION	str()	5
ANTHROPIC_DEFAULT_HAIKU_MODEL_NAME	str()	5
ANTHROPIC_DEFAULT_MODEL	str()	5
ANTHROPIC_DEFAULT_OPUS_MODEL	str()	5
ANTHROPIC_DEFAULT_OPUS_MODEL_DESCRIPTION	str()	5
ANTHROPIC_DEFAULT_OPUS_MODEL_NAME	str()	5
ANTHROPIC_DEFAULT_SONNET_MODEL	str()	5
ANTHROPIC_DEFAULT_SONNET_MODEL_DESCRIPTION	str()	5
ANTHROPIC_DEFAULT_SONNET_MODEL_NAME	str()	5
ANTHROPIC_FEDERATION_RULE_ID	str()	0
ANTHROPIC_FOUNDRY_API_KEY	str()	0
ANTHROPIC_FOUNDRY_AUTH_TOKEN	str()	0
ANTHROPIC_FOUNDRY_BASE_URL	str()	7
ANTHROPIC_FOUNDRY_RESOURCE	str()	7
ANTHROPIC_GOOGLE_CLOUD_BASE_URL	str()	7
ANTHROPIC_GOOGLE_CLOUD_LOCATION	str()	7
ANTHROPIC_GOOGLE_CLOUD_PROJECT	str()	7
ANTHROPIC_GOOGLE_CLOUD_WORKSPACE_ID	str()	7
ANTHROPIC_MODEL	?	5
ANTHROPIC_ORGANIZATION_ID	str()	0
ANTHROPIC_PROFILE	str()	0
ANTHROPIC_SMALL_FAST_MODEL	str()	5
ANTHROPIC_SMALL_FAST_MODEL_AWS_REGION	str()	7
ANTHROPIC_UNIX_SOCKET	str()	7
ANTHROPIC_VERTEX_BASE_URL	str()	7
ANTHROPIC_VERTEX_PROJECT_ID	str()	7
ANTHROPIC_WORKSPACE_ID	str()	0
ANT_CLAUDE_CODE_METRICS_ENDPOINT	str()	1
ANT_OTEL_EXPORTER_OTLP_ENDPOINT	str()	1
ANT_OTEL_EXPORTER_OTLP_HEADERS	str()	1
ANT_OTEL_EXPORTER_OTLP_PROTOCOL	str()	1
ANT_OTEL_LOGS_EXPORTER	str()	1
ANT_OTEL_METRICS_EXPORTER	str()	1
ANT_OTEL_RESOURCE_ATTRIBUTES	str()	1
ANT_OTEL_TRACES_EXPORTER	str()	1
API_FORCE_IDLE_TIMEOUT	int()	6
API_TIMEOUT_MS	int()	6
APPDATA	str()	3
APP_URL	str()	3
AWS_ACCESS_KEY_ID	str()	7
AWS_BEARER_TOKEN_BEDROCK	str()	0
AWS_CA_BUNDLE	str()	3
AWS_CONFIG_FILE	str()	7
AWS_CONTAINER_CREDENTIALS_FULL_URI	str()	0
AWS_CONTAINER_CREDENTIALS_RELATIVE_URI	str()	0
AWS_DEFAULT_REGION	str()	7
AWS_ENDPOINT_URL	str()	7
AWS_ENDPOINT_URL_STS	str()	7
AWS_EXECUTION_ENV	str()	3
AWS_LAMBDA_FUNCTION_NAME	str()	3
AWS_PROFILE	str()	7
AWS_REGION	str()	7
AWS_ROLE_ARN	str()	0
AWS_SECRET_ACCESS_KEY	str()	7
AWS_SESSION_TOKEN	str()	7
AWS_SHARED_CREDENTIALS_FILE	str()	7
AWS_WEB_IDENTITY_TOKEN_FILE	str()	0
AZURE_FUNCTIONS_ENVIRONMENT	str()	3
BASH_ENV	str()	3
BASH_MAX_OUTPUT_LENGTH	int()	4
